Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
62220,Vistara,UK-960,Mumbai,Morning,one,Night,Kolkata,Economy,10.83,6,9879.0
62221,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Kolkata,Economy,15.25,6,9879.0
62222,Vistara,UK-928,Mumbai,Early_Morning,one,Night,Kolkata,Economy,16.25,6,9879.0
62223,Vistara,UK-954,Mumbai,Early_Morning,one,Night,Kolkata,Economy,16.75,6,9879.0
62224,Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Economy,2.83,6,10038.0
62225,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Economy,5.67,6,10058.0
62226,Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Economy,6.17,6,10058.0
62227,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,10.58,6,10058.0
62228,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,11.58,6,10058.0
62229,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.08,6,10058.0
62230,Indigo,6E-227,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,4.08,6,9723.0
62231,Indigo,6E-236,Mumbai,Evening,one,Night,Kolkata,Economy,5.58,6,9723.0
62232,Indigo,6E-236,Mumbai,Evening,one,Night,Kolkata,Economy,6.58,6,9723.0
62233,Air_India,AI-639,Mumbai,Morning,one,Evening,Kolkata,Economy,8.08,6,9828.0
62234,Indigo,6E-5366,Mumbai,Morning,one,Afternoon,Kolkata,Economy,6.33,6,9881.0
62235,Indigo,6E-219,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.33,6,9881.0
62236,Indigo,6E-5338,Mumbai,Morning,one,Afternoon,Kolkata,Economy,7.33,6,9881.0
62237,Indigo,6E-5366,Mumbai,Morning,one,Evening,Kolkata,Economy,8.25,6,9881.0
62238,Indigo,6E-219,Mumbai,Afternoon,one,Night,Kolkata,Economy,8.42,6,9881.0
62239,Air_India,AI-619,Mumbai,Night,one,Morning,Kolkata,Economy,11.83,6,9933.0
62240,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Economy,7.17,6,10593.0
62241,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Economy,7.67,6,10593.0
62242,Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Economy,7.67,6,10593.0
62243,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Economy,9.17,6,10593.0
62244,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.08,6,10593.0
62245,Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Economy,12.33,6,10593.0
62246,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,13.08,6,10593.0
62247,Indigo,6E-5208,Mumbai,Evening,one,Night,Kolkata,Economy,5.5,6,10616.0
62248,Indigo,6E-5217,Mumbai,Evening,one,Night,Kolkata,Economy,6.33,6,10616.0
62249,Indigo,6E-5375,Mumbai,Evening,one,Night,Kolkata,Economy,5.58,6,10721.0
