Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
58410,Air_India,AI-675,Mumbai,Early_Morning,one,Night,Bangalore,Economy,14.67,32,7170.0
58411,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.5,32,7660.0
58412,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,11.33,32,7660.0
58413,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Economy,12.92,32,7660.0
58414,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Economy,15.17,32,7660.0
58415,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Economy,15.83,32,7660.0
58416,GO_FIRST,G8-511,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,6.83,32,7332.0
58417,GO_FIRST,G8-511,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,14.33,32,7332.0
58418,GO_FIRST,G8-511,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,12.17,32,7617.0
58419,Vistara,UK-653,Mumbai,Early_Morning,one,Night,Bangalore,Economy,14.42,32,8867.0
58420,Vistara,UK-653,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.67,32,8867.0
58421,Vistara,UK-653,Mumbai,Early_Morning,one,Night,Bangalore,Economy,17.33,32,8867.0
58422,Air_India,AI-637,Mumbai,Evening,two_or_more,Morning,Bangalore,Economy,14.33,32,8552.0
58423,Air_India,AI-669,Mumbai,Morning,one,Morning,Bangalore,Economy,20.92,32,8631.0
58424,Air_India,AI-637,Mumbai,Evening,two_or_more,Afternoon,Bangalore,Economy,17.67,32,8972.0
58425,Air_India,AI-637,Mumbai,Evening,two_or_more,Night,Bangalore,Economy,25.5,32,8972.0
58426,Air_India,AI-637,Mumbai,Evening,two_or_more,Late_Night,Bangalore,Economy,29.58,32,8972.0
58427,GO_FIRST,G8-351,Mumbai,Morning,one,Evening,Bangalore,Economy,7.67,32,9624.0
58428,GO_FIRST,G8-351,Mumbai,Morning,one,Night,Bangalore,Economy,13.58,32,9624.0
58429,Vistara,UK-930,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,8.5,32,14259.0
58430,Vistara,UK-863,Mumbai,Morning,zero,Morning,Bangalore,Economy,1.67,33,2074.0
58431,Vistara,UK-853,Mumbai,Afternoon,zero,Evening,Bangalore,Economy,1.75,33,2074.0
58432,Vistara,UK-849,Mumbai,Evening,zero,Evening,Bangalore,Economy,1.75,33,2074.0
58433,Vistara,UK-865,Mumbai,Evening,zero,Night,Bangalore,Economy,1.75,33,2074.0
58434,Vistara,UK-845,Mumbai,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.83,33,2074.0
58435,Vistara,UK-851,Mumbai,Early_Morning,zero,Morning,Bangalore,Economy,1.83,33,2074.0
58436,Vistara,UK-857,Mumbai,Night,zero,Night,Bangalore,Economy,1.83,33,2074.0
58437,AirAsia,I5-620,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,3.92,33,2074.0
58438,AirAsia,I5-471,Mumbai,Night,one,Morning,Bangalore,Economy,9.08,33,2074.0
58439,AirAsia,I5-330,Mumbai,Night,one,Morning,Bangalore,Economy,11.75,33,2074.0
