Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
19500,AirAsia,I5-775,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.75,47,3090.0
19501,AirAsia,I5-784,Delhi,Evening,one,Late_Night,Bangalore,Economy,9.33,47,3090.0
19502,AirAsia,I5-710,Delhi,Morning,one,Night,Bangalore,Economy,9.58,47,3090.0
19503,AirAsia,I5-768,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,10.0,47,3090.0
19504,AirAsia,I5-764,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.33,47,3090.0
19505,AirAsia,I5-798,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,10.5,47,3090.0
19506,AirAsia,I5-775,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,11.0,47,3090.0
19507,AirAsia,I5-798,Delhi,Afternoon,two_or_more,Night,Delhi,Economy,11.17,47,3090.0
19508,AirAsia,I5-548,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.25,47,3090.0
19509,AirAsia,I5-775,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,11.67,47,3090.0
19510,AirAsia,I5-711,Delhi,Early_Morning,one,Evening,Bangalore,Economy,12.0,47,3090.0
19511,AirAsia,I5-744,Delhi,Morning,one,Night,Bangalore,Economy,12.08,47,3090.0
19512,AirAsia,I5-773,Delhi,Evening,one,Morning,Bangalore,Economy,12.42,47,3090.0
19513,Indigo,6E-6205,Delhi,Afternoon,one,Evening,Bangalore,Economy,5.08,47,3127.0
19514,Indigo,6E-6205,Delhi,Afternoon,one,Evening,Bangalore,Economy,6.42,47,3127.0
19515,Indigo,6E-2331,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.5,47,3127.0
19516,Indigo,6E-221,Delhi,Night,one,Late_Night,Bangalore,Economy,5.25,47,3302.0
19517,Indigo,6E-2769,Delhi,Morning,one,Afternoon,Bangalore,Economy,7.17,47,3302.0
19518,Indigo,6E-951,Delhi,Night,one,Early_Morning,Bangalore,Economy,7.17,47,3302.0
19519,Indigo,6E-221,Delhi,Night,one,Early_Morning,Bangalore,Economy,9.08,47,3302.0
19520,SpiceJet,SG-8185,Delhi,Morning,one,Evening,Bangalore,Economy,8.42,47,3326.0
19521,SpiceJet,SG-8938,Delhi,Evening,one,Evening,Bangalore,Economy,24.5,47,3326.0
19522,GO_FIRST,G8-275,Delhi,Evening,one,Late_Night,Bangalore,Economy,8.08,47,3568.0
19523,AirAsia,I5-792,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,11.58,47,3569.0
19524,AirAsia,I5-792,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,12.0,47,3569.0
19525,Indigo,6E-286,Delhi,Evening,one,Night,Bangalore,Economy,6.07,47,3587.0
19526,Indigo,6E-788,Delhi,Afternoon,one,Night,Bangalore,Economy,7.25,47,3587.0
19527,Indigo,6E-286,Delhi,Evening,one,Late_Night,Bangalore,Economy,8.58,47,3587.0
19528,Air_India,AI-542,Delhi,Morning,one,Night,Bangalore,Economy,12.5,47,3621.0
19529,Air_India,AI-560,Delhi,Early_Morning,one,Night,Bangalore,Economy,15.17,47,3621.0
