Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
133110,Vistara,UK-778,Kolkata,Afternoon,one,Night,Mumbai,Economy,5.92,35,6711.0
133111,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Economy,9.83,35,6711.0
133112,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Economy,11.0,35,6711.0
133113,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Economy,12.92,35,6711.0
133114,Vistara,UK-708,Kolkata,Night,one,Morning,Mumbai,Economy,13.33,35,6711.0
133115,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Economy,14.08,35,6711.0
133116,Vistara,UK-738,Kolkata,Evening,one,Morning,Mumbai,Economy,15.0,35,6711.0
133117,Indigo,6E-6488,Kolkata,Morning,one,Evening,Mumbai,Economy,4.67,35,6521.0
133118,Indigo,6E-6488,Kolkata,Morning,one,Night,Mumbai,Economy,11.33,35,6521.0
133119,Air_India,AI-763,Kolkata,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,35,6600.0
133120,Air_India,AI-770,Kolkata,Night,one,Night,Mumbai,Economy,26.92,35,6786.0
133121,Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,Economy,31.92,35,6786.0
133122,Air_India,AI-765,Kolkata,Afternoon,one,Morning,Mumbai,Economy,18.42,35,7006.0
133123,Air_India,AI-765,Kolkata,Afternoon,one,Morning,Mumbai,Economy,19.5,35,7006.0
133124,Air_India,AI-765,Kolkata,Afternoon,one,Morning,Mumbai,Economy,20.58,35,7006.0
133125,Air_India,AI-765,Kolkata,Afternoon,one,Afternoon,Mumbai,Economy,22.17,35,7006.0
133126,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Economy,37.0,35,7207.0
133127,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,Economy,40.42,35,7207.0
133128,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Night,Mumbai,Economy,16.0,35,7404.0
133129,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Morning,Mumbai,Economy,26.58,35,7404.0
133130,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Night,Mumbai,Economy,15.0,35,7569.0
133131,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Morning,Mumbai,Economy,27.5,35,7569.0
133132,Indigo,6E-6917,Kolkata,Afternoon,one,Night,Mumbai,Economy,6.58,35,7623.0
133133,SpiceJet,SG-679,Kolkata,Afternoon,one,Early_Morning,Mumbai,Economy,15.42,35,7860.0
133134,SpiceJet,SG-679,Kolkata,Afternoon,one,Afternoon,Mumbai,Economy,23.5,35,7860.0
133135,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Economy,11.33,35,8283.0
133136,Air_India,AI-770,Kolkata,Night,one,Evening,Mumbai,Economy,19.92,35,8478.0
133137,Air_India,AI-768,Kolkata,Afternoon,one,Evening,Mumbai,Economy,24.92,35,8478.0
133138,Air_India,AI-402,Kolkata,Morning,one,Evening,Mumbai,Economy,30.0,35,8899.0
133139,Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,33.42,35,8899.0
