Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
275130,Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Business,20.5,9,51875.0
275131,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,7.75,9,54115.0
275132,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,9.0,9,54115.0
275133,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Business,12.08,9,54115.0
275134,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,12.17,9,54115.0
275135,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,13.42,9,54115.0
275136,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Business,13.42,9,54115.0
275137,Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Business,15.08,9,59827.0
275138,Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Business,19.33,9,59827.0
275139,Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Business,22.17,9,63971.0
275140,Vistara,UK-860,Hyderabad,Early_Morning,zero,Morning,Delhi,Business,2.17,10,24234.0
275141,Vistara,UK-870,Hyderabad,Night,zero,Night,Delhi,Business,2.25,10,24234.0
275142,Vistara,UK-830,Hyderabad,Morning,zero,Afternoon,Delhi,Business,2.33,10,24234.0
275143,Air_India,AI-541,Hyderabad,Evening,zero,Evening,Delhi,Business,2.25,10,24122.0
275144,Air_India,AI-559,Hyderabad,Early_Morning,zero,Morning,Delhi,Business,2.5,10,24122.0
275145,Air_India,AI-543,Hyderabad,Morning,zero,Afternoon,Delhi,Business,2.5,10,24122.0
275146,Vistara,UK-890,Hyderabad,Evening,zero,Evening,Delhi,Business,2.25,10,30808.0
275147,Air_India,AI-507,Hyderabad,Morning,one,Evening,Delhi,Business,7.58,10,37846.0
275148,Air_India,AI-507,Hyderabad,Morning,one,Night,Delhi,Business,15.25,10,37846.0
275149,Vistara,UK-880,Hyderabad,Afternoon,zero,Afternoon,Delhi,Business,2.25,10,38648.0
275150,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Business,10.5,10,39555.0
275151,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Delhi,Business,19.17,10,39555.0
275152,Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Business,10.92,10,39499.0
275153,Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Business,12.0,10,39499.0
275154,Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Business,12.5,10,39499.0
275155,Air_India,AI-698,Hyderabad,Night,one,Afternoon,Delhi,Business,14.0,10,39499.0
275156,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Business,20.0,10,39499.0
275157,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Business,21.08,10,39499.0
275158,Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Business,7.5,10,44583.0
275159,Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Business,10.83,10,44583.0
